ubp_id,symbol,id_atomic_number,period,chemical_class,lexicon,vector_weight,nrci,tax_exact,atomic_mass,boiling_point,melting_point,atomic_number,density
ELEM_Na_011,Na,11,PERIOD_3,ALKALI_METAL,"[Element: Sodium (Na)], [Sodium (Z=11). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 8. Period 3 alkali opener, single valence electron seeking union.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,2299/100,1156,7419/20,11,971/1000
ELEM_Mg_012,Mg,12,PERIOD_3,ALKALINE_EARTH,"[Element: Magnesium (Mg)], [Magnesium (Z=12). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. A Alkaline Earth element in period 3.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,4861/200,1363,923,12,869/500
ELEM_Al_013,Al,13,PERIOD_3,POST_TRANSITION_METAL,"[Element: Aluminum (Al)], [Aluminum (Z=13). A Solid (Phase 3) with FCC/Cubic potential. Valence 3. Tension: 6. A Post Transition element in period 3.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,13491/500,2792,93347/100,13,27/10
ELEM_Si_014,Si,14,PERIOD_3,METALLOID,"[Element: Silicon (Si)], [Silicon (Z=14). A Solid (Phase 3) with FCC/Cubic potential. Valence 4. Tension: 3. A Metalloid element in period 3.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,14043/500,3538,1687,14,1456/625
ELEM_P_015,P,15,PERIOD_3,NONMETAL,"[Element: Phosphorus (P)], [Phosphorus (Z=15). A Solid (Phase 3) with Orthorhombic potential. Valence 5. Tension: 5. A Nonmetal element in period 3.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,15487/500,11073/20,3173/10,15,91/50
ELEM_S_016,S,16,PERIOD_3,NONMETAL,"[Element: Sulfur (S)], [Sulfur (Z=16). A Solid (Phase 3) with Orthorhombic potential. Valence 6. Tension: 3. A Nonmetal element in period 3.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,1603/50,71787/100,9709/25,16,2067/1000
ELEM_Cl_017,Cl,17,PERIOD_3,HALOGEN,"[Element: Chlorine (Cl)], [Chlorine (Z=17). A Gas (Phase 1) with Orthorhombic potential. Valence 7. Tension: 3. A Halogen element in period 3.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,709/20,23911/100,858/5,17,1607/500
ELEM_Ar_018,Ar,18,PERIOD_3,NOBLE_GAS,"[Element: Argon (Ar)], [Argon (Z=18). A Gas (Phase 1) with FCC/Cubic potential. Valence 8. Tension: 7. A noble gas closure at period 3, full shell stability.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,9987/250,873/10,419/5,18,223/125
ELEM_K_019,K,19,PERIOD_4,ALKALI_METAL,"[Element: Potassium (K)], [Potassium (Z=19). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 6. Period 4 alkali opener, single valence electron seeking union.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,19549/500,1032,33653/100,19,431/500
ELEM_Ca_020,Ca,20,PERIOD_4,ALKALINE_EARTH,"[Element: Calcium (Ca)], [Calcium (Z=20). A Solid (Phase 3) with FCC/Cubic potential. Valence 2. Tension: 9. A Alkaline Earth element in period 4.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,20039/500,1757,1115,20,77/50
ELEM_Sc_021,Sc,21,PERIOD_4,TRANSITION_METAL,"[Element: Scandium (Sc)], [Scandium (Z=21). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. A d-block transition metal in period 4, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,11239/250,3109,1814,21,2989/1000
ELEM_Ti_022,Ti,22,PERIOD_4,TRANSITION_METAL,"[Element: Titanium (Ti)], [Titanium (Z=22). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. A d-block transition metal in period 4, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,47867/1000,3560,1941,22,2253/500
ELEM_V_023,V,23,PERIOD_4,TRANSITION_METAL,"[Element: Vanadium (V)], [Vanadium (Z=23). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 8. A d-block transition metal in period 4, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,25471/500,3680,2183,23,611/100
ELEM_Cr_024,Cr,24,PERIOD_4,TRANSITION_METAL,"[Element: Chromium (Cr)], [Chromium (Z=24). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 5. A d-block transition metal in period 4, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,12999/250,2944,2180,24,143/20
ELEM_Mn_025,Mn,25,PERIOD_4,TRANSITION_METAL,"[Element: Manganese (Mn)], [Manganese (Z=25). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 6. A d-block transition metal in period 4, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,27469/500,2334,1519,25,186/25
ELEM_Fe_026,Fe,26,PERIOD_4,TRANSITION_METAL,"[Element: Iron (Fe)], [Iron (Z=26). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 5. A d-block transition metal in period 4, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,11169/200,3134,1811,26,3937/500
ELEM_Co_027,Co,27,PERIOD_4,TRANSITION_METAL,"[Element: Cobalt (Co)], [Cobalt (Z=27). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. A d-block transition metal in period 4, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,58933/1000,3200,1768,27,89/10
ELEM_Ni_028,Ni,28,PERIOD_4,TRANSITION_METAL,"[Element: Nickel (Ni)], [Nickel (Z=28). A Solid (Phase 3) with FCC/Cubic potential. Valence 2. Tension: 5. A d-block transition metal in period 4, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,58693/1000,3186,1728,28,2227/250
ELEM_Cu_029,Cu,29,PERIOD_4,TRANSITION_METAL,"[Element: Copper (Cu)], [Copper (Z=29). A Solid (Phase 3) with FCC/Cubic potential. Valence 1. Tension: 5. A d-block transition metal in period 4, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,31773/500,2835,135777/100,29,224/25
ELEM_Zn_030,Zn,30,PERIOD_4,TRANSITION_METAL,"[Element: Zinc (Zn)], [Zinc (Z=30). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 5. A d-block transition metal in period 4, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,3269/50,1180,17317/25,30,3567/500
ELEM_Ga_031,Ga,31,PERIOD_4,POST_TRANSITION_METAL,"[Element: Gallium (Ga)], [Gallium (Z=31). A Solid (Phase 3) with Orthorhombic potential. Valence 3. Tension: 6. A Post Transition element in period 4.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,69723/1000,2477,30291/100,31,5907/1000
ELEM_Ge_032,Ge,32,PERIOD_4,METALLOID,"[Element: Germanium (Ge)], [Germanium (Z=32). A Solid (Phase 3) with FCC/Cubic potential. Valence 4. Tension: 5. A Metalloid element in period 4.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,7263/100,3106,6057/5,32,5323/1000
ELEM_As_033,As,33,PERIOD_4,METALLOID,"[Element: Arsenic (As)], [Arsenic (Z=33). A Solid (Phase 3) with Other/Unknown potential. Valence 5. Tension: 5. A Metalloid element in period 4.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,37461/500,887,1090,33,722/125
ELEM_Se_034,Se,34,PERIOD_4,NONMETAL,"[Element: Selenium (Se)], [Selenium (Z=34). A Solid (Phase 3) with Hexagonal potential. Valence 6. Tension: 6. A Nonmetal element in period 4.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,78971/1000,958,494,34,4809/1000
ELEM_Br_035,Br,35,PERIOD_4,HALOGEN,"[Element: Bromine (Br)], [Bromine (Z=35). A Liquid (Phase 2) with Orthorhombic potential. Valence 7. Tension: 7. A Halogen element in period 4.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,9988/125,332,1329/5,35,7757/2500
ELEM_Kr_036,Kr,36,PERIOD_4,NOBLE_GAS,"[Element: Krypton (Kr)], [Krypton (Z=36). A Gas (Phase 1) with FCC/Cubic potential. Valence 8. Tension: 7. A noble gas closure at period 4, full shell stability.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,41899/500,11993/100,11579/100,36,3749/1000
ELEM_Rb_037,Rb,37,PERIOD_5,ALKALI_METAL,"[Element: Rubidium (Rb)], [Rubidium (Z=37). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 7. Period 5 alkali opener, single valence electron seeking union.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,21367/250,961,15623/50,37,383/250
ELEM_Sr_038,Sr,38,PERIOD_5,ALKALINE_EARTH,"[Element: Strontium (Sr)], [Strontium (Z=38). A Solid (Phase 3) with FCC/Cubic potential. Valence 2. Tension: 6. A Alkaline Earth element in period 5.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,4381/50,1655,1050,38,66/25
ELEM_Y_039,Y,39,PERIOD_5,TRANSITION_METAL,"[Element: Yttrium (Y)], [Yttrium (Z=39). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. A d-block transition metal in period 5, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,44453/500,3609,1799,39,4469/1000
ELEM_Zr_040,Zr,40,PERIOD_5,TRANSITION_METAL,"[Element: Zirconium (Zr)], [Zirconium (Z=40). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. A d-block transition metal in period 5, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,11403/125,4682,2128,40,3253/500
ELEM_Nb_041,Nb,41,PERIOD_5,TRANSITION_METAL,"[Element: Niobium (Nb)], [Niobium (Z=41). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 7. A d-block transition metal in period 5, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,46453/500,5017,2750,41,857/100
ELEM_Mo_042,Mo,42,PERIOD_5,TRANSITION_METAL,"[Element: Molybdenum (Mo)], [Molybdenum (Z=42). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 6. A d-block transition metal in period 5, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,1919/20,4912,2896,42,511/50
ELEM_Tc_043,Tc,43,PERIOD_5,TRANSITION_METAL,"[Element: Technetium (Tc)], [Technetium (Z=43). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. A d-block transition metal in period 5, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,98,4538,2430,43,23/2
ELEM_Ru_044,Ru,44,PERIOD_5,TRANSITION_METAL,"[Element: Ruthenium (Ru)], [Ruthenium (Z=44). A Solid (Phase 3) with Hexagonal potential. Valence 1. Tension: 6. A d-block transition metal in period 5, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,10107/100,4423,2607,44,1237/100
ELEM_Rh_045,Rh,45,PERIOD_5,TRANSITION_METAL,"[Element: Rhodium (Rh)], [Rhodium (Z=45). A Solid (Phase 3) with FCC/Cubic potential. Valence 1. Tension: 7. A d-block transition metal in period 5, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,10291/100,3968,2237,45,1241/100
ELEM_Pd_046,Pd,46,PERIOD_5,TRANSITION_METAL,"[Element: Palladium (Pd)], [Palladium (Z=46). A Solid (Phase 3) with FCC/Cubic potential. Valence 0. Tension: 5. A d-block transition metal in period 5, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,5321/50,3236,36561/20,46,601/50
ELEM_Ag_047,Ag,47,PERIOD_5,TRANSITION_METAL,"[Element: Silver (Ag)], [Silver (Z=47). A Solid (Phase 3) with FCC/Cubic potential. Valence 1. Tension: 4. A d-block transition metal in period 5, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,10787/100,2435,123493/100,47,10501/1000
ELEM_Cd_048,Cd,48,PERIOD_5,TRANSITION_METAL,"[Element: Cadmium (Cd)], [Cadmium (Z=48). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 5. A d-block transition metal in period 5, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,11241/100,1040,29711/50,48,869/100
ELEM_In_049,In,49,PERIOD_5,POST_TRANSITION_METAL,"[Element: Indium (In)], [Indium (Z=49). A Solid (Phase 3) with Tetragonal potential. Valence 3. Tension: 9. A Post Transition element in period 5.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,5741/50,2345,1719/4,49,731/100
ELEM_Sn_050,Sn,50,PERIOD_5,POST_TRANSITION_METAL,"[Element: Tin (Sn)], [Tin (Z=50). A Solid (Phase 3) with Tetragonal potential. Valence 4. Tension: 7. A Post Transition element in period 5.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,11871/100,2875,12627/25,50,7287/1000
ELEM_Sb_051,Sb,51,PERIOD_5,METALLOID,"[Element: Antimony (Sb)], [Antimony (Z=51). A Solid (Phase 3) with Other/Unknown potential. Valence 5. Tension: 4. A Metalloid element in period 5.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,3044/25,1860,45189/50,51,1337/200
ELEM_Te_052,Te,52,PERIOD_5,METALLOID,"[Element: Tellurium (Te)], [Tellurium (Z=52). A Solid (Phase 3) with Hexagonal potential. Valence 6. Tension: 4. A Metalloid element in period 5.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,638/5,1261,36133/50,52,779/125
ELEM_I_053,I,53,PERIOD_5,HALOGEN,"[Element: Iodine (I)], [Iodine (Z=53). A Solid (Phase 3) with Orthorhombic potential. Valence 7. Tension: 3. A Halogen element in period 5.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,1269/10,2287/5,7737/20,53,493/100
ELEM_Xe_054,Xe,54,PERIOD_5,NOBLE_GAS,"[Element: Xenon (Xe)], [Xenon (Z=54). A Gas (Phase 1) with FCC/Cubic potential. Valence 8. Tension: 9. A noble gas closure at period 5, full shell stability.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,13129/100,16503/100,807/5,54,2947/500
ELEM_Cs_055,Cs,55,PERIOD_6,ALKALI_METAL,"[Element: Cesium (Cs)], [Cesium (Z=55). A Solid (Phase 3) with BCC potential. Valence 1. Tension: 7. Period 6 alkali opener, single valence electron seeking union.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,13291/100,944,30159/100,55,1873/1000
ELEM_Ba_056,Ba,56,PERIOD_6,ALKALINE_EARTH,"[Element: Barium (Ba)], [Barium (Z=56). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 7. A Alkaline Earth element in period 6.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,13733/100,2170,1000,56,1797/500
ELEM_La_057,La,57,PERIOD_6,LANTHANIDE,"[Element: Lanthanum (La)], [Lanthanum (Z=57). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,13891/100,3737,1193,57,1229/200
ELEM_Ce_058,Ce,58,PERIOD_6,LANTHANIDE,"[Element: Cerium (Ce)], [Cerium (Z=58). A Solid (Phase 3) with FCC/Cubic potential. Valence 2. Tension: 9. An f-block element, deep orbital complexity in period 6.]",16,0.6159605143398686,251540099987291377284560121471552045519461326629092897089382/40344489343054752407088436891842371820968160890283666757563,3503/25,3716,1068,58,677/100
ELEM_Pr_059,Pr,59,PERIOD_6,LANTHANIDE,"[Element: Praseodymium (Pr)], [Praseodymium (Z=59). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 8. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,14091/100,3793,1208,59,6773/1000
ELEM_Nd_060,Nd,60,PERIOD_6,LANTHANIDE,"[Element: Neodymium (Nd)], [Neodymium (Z=60). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 5. An f-block element, deep orbital complexity in period 6.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,3606/25,3347,1297,60,7007/1000
ELEM_Pm_061,Pm,61,PERIOD_6,LANTHANIDE,"[Element: Promethium (Pm)], [Promethium (Z=61). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,145,3273,1315,61,363/50
ELEM_Sm_062,Sm,62,PERIOD_6,LANTHANIDE,"[Element: Samarium (Sm)], [Samarium (Z=62). A Solid (Phase 3) with Other/Unknown potential. Valence 2. Tension: 8. An f-block element, deep orbital complexity in period 6.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,3759/25,2067,1345,62,188/25
ELEM_Eu_063,Eu,63,PERIOD_6,LANTHANIDE,"[Element: Europium (Eu)], [Europium (Z=63). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 9. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,3799/25,1802,1099,63,5243/1000
ELEM_Gd_064,Gd,64,PERIOD_6,LANTHANIDE,"[Element: Gadolinium (Gd)], [Gadolinium (Z=64). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. An f-block element, deep orbital complexity in period 6.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,629/4,3546,1585,64,1579/200
ELEM_Tb_065,Tb,65,PERIOD_6,LANTHANIDE,"[Element: Terbium (Tb)], [Terbium (Z=65). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,15893/100,3503,1629,65,8229/1000
ELEM_Dy_066,Dy,66,PERIOD_6,LANTHANIDE,"[Element: Dysprosium (Dy)], [Dysprosium (Z=66). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 5. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,325/2,2840,1680,66,171/20
ELEM_Ho_067,Ho,67,PERIOD_6,LANTHANIDE,"[Element: Holmium (Ho)], [Holmium (Z=67). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,16493/100,2993,1734,67,1759/200
ELEM_Er_068,Er,68,PERIOD_6,LANTHANIDE,"[Element: Erbium (Er)], [Erbium (Z=68). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,8363/50,3141,1802,68,4533/500
ELEM_Tm_069,Tm,69,PERIOD_6,LANTHANIDE,"[Element: Thulium (Tm)], [Thulium (Z=69). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 8. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,16893/100,2223,1818,69,9321/1000
ELEM_Yb_070,Yb,70,PERIOD_6,LANTHANIDE,"[Element: Ytterbium (Yb)], [Ytterbium (Z=70). A Solid (Phase 3) with FCC/Cubic potential. Valence 2. Tension: 5. An f-block element, deep orbital complexity in period 6.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,3461/20,1469,1097,70,1393/200
ELEM_Lu_071,Lu,71,PERIOD_6,LANTHANIDE,"[Element: Lutetium (Lu)], [Lutetium (Z=71). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 7. An f-block element, deep orbital complexity in period 6.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,17497/100,3675,1925,71,246/25
ELEM_Hf_072,Hf,72,PERIOD_6,TRANSITION_METAL,"[Element: Hafnium (Hf)], [Hafnium (Z=72). A Solid (Phase 3) with Hexagonal potential. Valence 2. Tension: 6. A d-block transition metal in period 6, variable oxidation character.]",12,0.6813796908424689,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,17849/100,4876,2506,72,1331/100
ELEM_Ta_073,Ta,73,PERIOD_6,TRANSITION_METAL,"[Element: Tantalum (Ta)], [Tantalum (Z=73). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 7. A d-block transition metal in period 6, variable oxidation character.]",8,0.7623459965437248,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,3619/20,5731,3290,73,8327/500
ELEM_W_074,W,74,PERIOD_6,TRANSITION_METAL,"[Element: Tungsten (W)], [Tungsten (Z=74). A Solid (Phase 3) with BCC potential. Valence 2. Tension: 6. A d-block transition metal in period 6, variable oxidation character.]",16,0.6159605143398686,251540099987291377284560121471552045519461326629092897089382/40344489343054752407088436891842371820968160890283666757563,4596/25,5828,3695,74,77/4
