ubp_id,symbol,atomic_number_identity,channel,value_exact,unit,condition,uncertainty,source,status
ELEM_B_005,B,5,atomic_mass,1081/100,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_B_005,B,5,boiling_point,4200,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_B_005,B,5,melting_point,2349,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_B_005,B,5,atomic_number,5,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_B_005,B,5,density,117/50,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_C_006,C,6,atomic_mass,12011/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_C_006,C,6,boiling_point,4098,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_C_006,C,6,melting_point,3823,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_C_006,C,6,atomic_number,6,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_C_006,C,6,density,2267/1000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_N_007,N,7,atomic_mass,14007/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_N_007,N,7,boiling_point,1934/25,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_N_007,N,7,melting_point,1263/20,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_N_007,N,7,atomic_number,7,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_N_007,N,7,density,1251/1000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_O_008,O,8,atomic_mass,15999/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_O_008,O,8,boiling_point,451/5,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_O_008,O,8,melting_point,1359/25,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_O_008,O,8,atomic_number,8,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_O_008,O,8,density,1429/1000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_F_009,F,9,atomic_mass,9499/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_F_009,F,9,boiling_point,8503/100,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_F_009,F,9,melting_point,5353/100,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_F_009,F,9,atomic_number,9,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_F_009,F,9,density,212/125,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Ne_010,Ne,10,atomic_mass,1009/50,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Ne_010,Ne,10,boiling_point,2707/100,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ne_010,Ne,10,melting_point,614/25,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ne_010,Ne,10,atomic_number,10,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Ne_010,Ne,10,density,4501/5000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Na_011,Na,11,atomic_mass,2299/100,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Na_011,Na,11,boiling_point,1156,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Na_011,Na,11,melting_point,7419/20,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Na_011,Na,11,atomic_number,11,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Na_011,Na,11,density,971/1000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Mg_012,Mg,12,atomic_mass,4861/200,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Mg_012,Mg,12,boiling_point,1363,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Mg_012,Mg,12,melting_point,923,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Mg_012,Mg,12,atomic_number,12,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Mg_012,Mg,12,density,869/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Al_013,Al,13,atomic_mass,13491/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Al_013,Al,13,boiling_point,2792,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Al_013,Al,13,melting_point,93347/100,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Al_013,Al,13,atomic_number,13,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Al_013,Al,13,density,27/10,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Si_014,Si,14,atomic_mass,14043/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Si_014,Si,14,boiling_point,3538,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Si_014,Si,14,melting_point,1687,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Si_014,Si,14,atomic_number,14,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Si_014,Si,14,density,1456/625,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_P_015,P,15,atomic_mass,15487/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_P_015,P,15,boiling_point,11073/20,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_P_015,P,15,melting_point,3173/10,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_P_015,P,15,atomic_number,15,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_P_015,P,15,density,91/50,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_S_016,S,16,atomic_mass,1603/50,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_S_016,S,16,boiling_point,71787/100,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_S_016,S,16,melting_point,9709/25,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_S_016,S,16,atomic_number,16,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_S_016,S,16,density,2067/1000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Cl_017,Cl,17,atomic_mass,709/20,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Cl_017,Cl,17,boiling_point,23911/100,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Cl_017,Cl,17,melting_point,858/5,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Cl_017,Cl,17,atomic_number,17,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Cl_017,Cl,17,density,1607/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Ar_018,Ar,18,atomic_mass,9987/250,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Ar_018,Ar,18,boiling_point,873/10,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ar_018,Ar,18,melting_point,419/5,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ar_018,Ar,18,atomic_number,18,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Ar_018,Ar,18,density,223/125,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_K_019,K,19,atomic_mass,19549/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_K_019,K,19,boiling_point,1032,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_K_019,K,19,melting_point,33653/100,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_K_019,K,19,atomic_number,19,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_K_019,K,19,density,431/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Ca_020,Ca,20,atomic_mass,20039/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Ca_020,Ca,20,boiling_point,1757,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ca_020,Ca,20,melting_point,1115,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ca_020,Ca,20,atomic_number,20,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Ca_020,Ca,20,density,77/50,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Sc_021,Sc,21,atomic_mass,11239/250,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Sc_021,Sc,21,boiling_point,3109,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Sc_021,Sc,21,melting_point,1814,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Sc_021,Sc,21,atomic_number,21,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Sc_021,Sc,21,density,2989/1000,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Ti_022,Ti,22,atomic_mass,47867/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Ti_022,Ti,22,boiling_point,3560,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ti_022,Ti,22,melting_point,1941,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ti_022,Ti,22,atomic_number,22,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Ti_022,Ti,22,density,2253/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_V_023,V,23,atomic_mass,25471/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_V_023,V,23,boiling_point,3680,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_V_023,V,23,melting_point,2183,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_V_023,V,23,atomic_number,23,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_V_023,V,23,density,611/100,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Cr_024,Cr,24,atomic_mass,12999/250,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Cr_024,Cr,24,boiling_point,2944,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Cr_024,Cr,24,melting_point,2180,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Cr_024,Cr,24,atomic_number,24,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Cr_024,Cr,24,density,143/20,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Mn_025,Mn,25,atomic_mass,27469/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Mn_025,Mn,25,boiling_point,2334,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Mn_025,Mn,25,melting_point,1519,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Mn_025,Mn,25,atomic_number,25,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Mn_025,Mn,25,density,186/25,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Fe_026,Fe,26,atomic_mass,11169/200,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Fe_026,Fe,26,boiling_point,3134,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Fe_026,Fe,26,melting_point,1811,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Fe_026,Fe,26,atomic_number,26,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Fe_026,Fe,26,density,3937/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Co_027,Co,27,atomic_mass,58933/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Co_027,Co,27,boiling_point,3200,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Co_027,Co,27,melting_point,1768,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Co_027,Co,27,atomic_number,27,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Co_027,Co,27,density,89/10,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Ni_028,Ni,28,atomic_mass,58693/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Ni_028,Ni,28,boiling_point,3186,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ni_028,Ni,28,melting_point,1728,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ni_028,Ni,28,atomic_number,28,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Ni_028,Ni,28,density,2227/250,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Cu_029,Cu,29,atomic_mass,31773/500,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Cu_029,Cu,29,boiling_point,2835,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Cu_029,Cu,29,melting_point,135777/100,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Cu_029,Cu,29,atomic_number,29,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Cu_029,Cu,29,density,224/25,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Zn_030,Zn,30,atomic_mass,3269/50,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Zn_030,Zn,30,boiling_point,1180,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Zn_030,Zn,30,melting_point,17317/25,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Zn_030,Zn,30,atomic_number,30,1 (count),chemical-element identity,exact,KB element identifier and M_Count.Z agree,ontology_derived_exact
ELEM_Zn_030,Zn,30,density,3567/500,unresolved: values appear to mix gas and condensed-phase conventions,temperature/pressure/phase not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_and_conditions_unresolved
ELEM_Ga_031,Ga,31,atomic_mass,69723/1000,u (inferred convention; not declared by KB),not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_source_unresolved
ELEM_Ga_031,Ga,31,boiling_point,2477,K (inferred convention; not declared by KB),pressure/phase convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
ELEM_Ga_031,Ga,31,melting_point,30291/100,K (inferred convention; not declared by KB),pressure/allotrope convention not_reported,not_reported,ubp_system_kb.json; upstream per-value source not_reported,unit_inferred_conditions_unresolved
